original_feature_index_zero_based,feature_name_zero_based,molecular_side,selected_by_training_only_MI,mean_absolute_shap,rank_by_mean_absolute_shap
511,fd_511,donor,True,0.042231665089065,20.0
512,fd_512,donor,False,,
513,fd_513,donor,True,0.0075960831476397,141.0
514,fd_514,donor,False,,
515,fd_515,donor,False,,
516,fd_516,donor,False,,
517,fd_517,donor,False,,
518,fd_518,donor,False,,
519,fd_519,donor,True,0.0036050666106057,236.0
520,fd_520,donor,True,0.0038215175592411,224.0
521,fd_521,donor,False,,
522,fd_522,donor,False,,
523,fd_523,donor,False,,
524,fd_524,donor,False,,
525,fd_525,donor,False,,
526,fd_526,donor,False,,
527,fd_527,donor,True,0.1010350921235229,6.0
528,fd_528,donor,False,,
529,fd_529,donor,False,,
530,fd_530,donor,False,,
531,fd_531,donor,False,,
532,fd_532,donor,True,0.003348760421139,247.0
533,fd_533,donor,False,,
534,fd_534,donor,False,,
535,fd_535,donor,False,,
536,fd_536,donor,False,,
537,fd_537,donor,False,,
538,fd_538,donor,False,,
539,fd_539,donor,False,,
540,fd_540,donor,True,0.0013992488374277,396.0
541,fd_541,donor,False,,
542,fd_542,donor,False,,
543,fd_543,donor,True,0.0021576864993918,331.0
544,fd_544,donor,True,0.0001929775920976,552.0
545,fd_545,donor,False,,
546,fd_546,donor,True,0.0002031322890459,549.0
547,fd_547,donor,False,,
548,fd_548,donor,False,,
549,fd_549,donor,True,0.0006917110186224,459.0
550,fd_550,donor,False,,
551,fd_551,donor,False,,
552,fd_552,donor,True,0.0168845849336842,60.0
553,fd_553,donor,False,,
554,fd_554,donor,True,0.0009116982998323,433.0
555,fd_555,donor,False,,
556,fd_556,donor,False,,
557,fd_557,donor,False,,
558,fd_558,donor,False,,
559,fd_559,donor,False,,
560,fd_560,donor,True,0.0006030857055638,473.0
561,fd_561,donor,True,0.0137741788387879,76.0
562,fd_562,donor,False,,
563,fd_563,donor,False,,
564,fd_564,donor,False,,
565,fd_565,donor,False,,
566,fd_566,donor,False,,
567,fd_567,donor,True,0.0536274884788985,18.0
568,fd_568,donor,False,,
569,fd_569,donor,False,,
570,fd_570,donor,True,0.0042405741063677,207.0
571,fd_571,donor,False,,
572,fd_572,donor,False,,
573,fd_573,donor,True,0.0004023120145925,499.0
574,fd_574,donor,False,,
575,fd_575,donor,False,,
576,fd_576,donor,False,,
577,fd_577,donor,False,,
578,fd_578,donor,False,,
579,fd_579,donor,False,,
580,fd_580,donor,False,,
581,fd_581,donor,False,,
582,fd_582,donor,False,,
583,fd_583,donor,True,0.0003236207705208,515.0
584,fd_584,donor,False,,
585,fd_585,donor,False,,
586,fd_586,donor,False,,
587,fd_587,donor,True,0.0029004170052947,280.0
588,fd_588,donor,False,,
589,fd_589,donor,False,,
590,fd_590,donor,False,,
591,fd_591,donor,False,,
592,fd_592,donor,True,0.0003965708620571,501.0
593,fd_593,donor,True,0.001016526195833,419.0
594,fd_594,donor,False,,
595,fd_595,donor,False,,
596,fd_596,donor,True,0.0076509338175792,139.0
597,fd_597,donor,False,,
598,fd_598,donor,False,,
599,fd_599,donor,False,,
600,fd_600,donor,False,,
601,fd_601,donor,True,0.019228659604121,55.0
602,fd_602,donor,False,,
603,fd_603,donor,False,,
604,fd_604,donor,True,0.0016923988426649,374.0
605,fd_605,donor,False,,
606,fd_606,donor,False,,
607,fd_607,donor,False,,
608,fd_608,donor,True,0.0014282041202689,392.0
609,fd_609,donor,False,,
610,fd_610,donor,True,0.0657783848254236,13.0
611,fd_611,donor,False,,
612,fd_612,donor,False,,
613,fd_613,donor,False,,
614,fd_614,donor,True,0.0001672126413031,557.0
615,fd_615,donor,False,,
616,fd_616,donor,False,,
617,fd_617,donor,False,,
618,fd_618,donor,False,,
619,fd_619,donor,False,,
620,fd_620,donor,False,,
621,fd_621,donor,False,,
622,fd_622,donor,False,,
623,fd_623,donor,False,,
624,fd_624,donor,False,,
625,fd_625,donor,False,,
626,fd_626,donor,False,,
627,fd_627,donor,False,,
628,fd_628,donor,False,,
629,fd_629,donor,True,0.0009173430497133,431.0
630,fd_630,donor,True,0.0009469810067895,425.0
631,fd_631,donor,False,,
632,fd_632,donor,False,,
633,fd_633,donor,False,,
634,fd_634,donor,True,0.0007887517167934,447.0
635,fd_635,donor,True,0.0163121174882397,63.0
636,fd_636,donor,True,0.0022980196291846,316.0
637,fd_637,donor,False,,
638,fd_638,donor,True,0.0014690944909763,389.0
639,fd_639,donor,False,,
640,fd_640,donor,False,,
641,fd_641,donor,True,0.0003359432818443,513.0
642,fd_642,donor,True,0.0050580658614093,190.0
643,fd_643,donor,True,0.0036149632379333,235.0
644,fd_644,donor,False,,
645,fd_645,donor,False,,
646,fd_646,donor,False,,
647,fd_647,donor,False,,
648,fd_648,donor,True,0.0195117831593132,54.0
649,fd_649,donor,False,,
650,fd_650,donor,True,0.025722504908424,40.0
651,fd_651,donor,False,,
652,fd_652,donor,False,,
653,fd_653,donor,True,0.0027268409491307,291.0
654,fd_654,donor,True,0.0005930798633706,476.0
655,fd_655,donor,False,,
656,fd_656,donor,True,0.0090962828400584,119.0
657,fd_657,donor,True,8.45426069986229e-05,574.0
658,fd_658,donor,False,,
659,fd_659,donor,False,,
660,fd_660,donor,False,,
661,fd_661,donor,False,,
662,fd_662,donor,False,,
663,fd_663,donor,False,,
664,fd_664,donor,False,,
665,fd_665,donor,False,,
666,fd_666,donor,False,,
667,fd_667,donor,True,0.0002649772241148,531.0
668,fd_668,donor,False,,
669,fd_669,donor,False,,
670,fd_670,donor,False,,
671,fd_671,donor,True,0.0002168235593034,545.0
672,fd_672,donor,False,,
673,fd_673,donor,False,,
674,fd_674,donor,False,,
675,fd_675,donor,False,,
676,fd_676,donor,False,,
677,fd_677,donor,False,,
678,fd_678,donor,False,,
679,fd_679,donor,False,,
680,fd_680,donor,True,0.0036676952915437,230.0
681,fd_681,donor,False,,
682,fd_682,donor,False,,
683,fd_683,donor,False,,
684,fd_684,donor,True,0.0060740112895881,166.0
685,fd_685,donor,False,,
686,fd_686,donor,False,,
687,fd_687,donor,False,,
688,fd_688,donor,False,,
689,fd_689,donor,False,,
690,fd_690,donor,False,,
691,fd_691,donor,False,,
692,fd_692,donor,True,0.0005893151779273,477.0
693,fd_693,donor,False,,
694,fd_694,donor,False,,
695,fd_695,donor,True,0.0121609196759712,84.0
696,fd_696,donor,False,,
697,fd_697,donor,True,0.0074404379731764,142.0
698,fd_698,donor,True,0.0010592029813442,417.0
699,fd_699,donor,True,0.0071314486450833,149.0
700,fd_700,donor,False,,
701,fd_701,donor,True,0.0002405536847504,539.0
702,fd_702,donor,False,,
703,fd_703,donor,True,0.0032586987480222,252.0
704,fd_704,donor,True,0.0018898406196468,351.0
705,fd_705,donor,True,0.0198012859694045,53.0
706,fd_706,donor,False,,
707,fd_707,donor,False,,
708,fd_708,donor,False,,
709,fd_709,donor,True,0.0092010073217055,116.0
710,fd_710,donor,False,,
711,fd_711,donor,False,,
