selected_model_input_position,original_feature_index_zero_based,feature_name_zero_based,mean_absolute_shap,rank_by_mean_absolute_shap
130,474,fd_474,0.0023611024952219,310
387,1334,fa_310,0.0023366581325122,311
385,1329,fa_305,0.0023322328133529,312
274,969,fd_969,0.002330450661178,313
23,69,fd_69,0.0023271218559038,314
71,237,fd_237,0.0023180376555018,315
175,636,fd_636,0.0022980196291846,316
4,20,fd_20,0.0022941500982595,317
211,730,fd_730,0.0022938184789005,318
31,107,fd_107,0.0022871434455282,319
16,47,fd_47,0.0022568575424331,320
257,893,fd_893,0.0022565764855162,321
303,1064,fa_40,0.0022446894917813,322
75,263,fd_263,0.002227262083228,323
430,1483,fa_459,0.0022118581352017,324
364,1249,fa_225,0.0021999089824361,325
48,147,fd_147,0.0021995648533826,326
381,1322,fa_298,0.0021992984574968,327
34,118,fd_118,0.0021807416458361,328
296,1045,fa_21,0.0021593171948275,329
282,995,fd_995,0.002157897861322,330
150,543,fd_543,0.0021576864993918,331
10,36,fd_36,0.0021513407213445,332
558,1904,fa_880,0.0021496787061107,333
243,837,fd_837,0.0021488469997334,334
77,282,fd_282,0.0021423897167845,335
58,192,fd_192,0.0021310994493106,336
565,1924,fa_900,0.0021055320356198,337
445,1539,fa_515,0.0020593887332173,338
70,230,fd_230,0.0020486238533487,339
258,896,fd_896,0.002048027535557,340
439,1513,fa_489,0.002041418711184,341
357,1232,fa_208,0.0020201690070864,342
323,1116,fa_92,0.0020173906541654,343
327,1121,fa_97,0.0020009549539099,344
363,1248,fa_224,0.0019846555576877,345
262,916,fd_916,0.0019248074958088,346
495,1706,fa_682,0.0019214971913494,347
8,25,fd_25,0.0019195262151767,348
371,1287,fa_263,0.0018964360766717,349
443,1526,fa_502,0.0018934597514295,350
197,704,fd_704,0.0018898406196468,351
0,1,fd_1,0.0018787433326285,352
475,1638,fa_614,0.0018523445868755,353
490,1695,fa_671,0.0018506591149965,354
540,1851,fa_827,0.0018211190266178,355
368,1265,fa_241,0.0018189936957216,356
509,1754,fa_730,0.0018154293833808,357
511,1758,fa_734,0.0018135189234729,358
577,1971,fa_947,0.0018083147513679,359
581,1981,fa_957,0.0018047529041238,360
308,1073,fa_49,0.0017919803678272,361
567,1929,fa_905,0.0017696063386897,362
270,958,fd_958,0.001768993775358,363
302,1060,fa_36,0.0017666073076936,364
271,959,fd_959,0.001764832152169,365
598,2045,fa_1021,0.0017574452442538,366
131,480,fd_480,0.0017566115322929,367
457,1569,fa_545,0.0017522097754247,368
503,1729,fa_705,0.0017495185572078,369
134,489,fd_489,0.0017365255398022,370
311,1083,fa_59,0.0017338574104768,371
515,1771,fa_747,0.0017331192731759,372
506,1748,fa_724,0.0017055795612791,373
167,604,fd_604,0.0016923988426649,374
406,1400,fa_376,0.001681894218139,375
97,368,fd_368,0.0016766790868757,376
107,396,fd_396,0.0016563560247783,377
427,1478,fa_454,0.0016474997405603,378
51,162,fd_162,0.0016013633373899,379
42,130,fd_130,0.0015763748782748,380
94,347,fd_347,0.001575274259444,381
111,405,fd_405,0.0015600108101801,382
585,1988,fa_964,0.0015533614944139,383
328,1128,fa_104,0.0015489531398169,384
125,459,fd_459,0.0015328900825103,385
246,857,fd_857,0.0015265171566673,386
14,44,fd_44,0.001515438033242,387
417,1441,fa_417,0.0015051736336554,388
176,638,fd_638,0.0014690944909763,389
118,422,fd_422,0.0014652613077712,390
531,1812,fa_788,0.0014501821416838,391
168,608,fd_608,0.0014282041202689,392
359,1240,fa_216,0.001426617889919,393
212,732,fd_732,0.0014204560155222,394
579,1977,fa_953,0.0014053946439953,395
149,540,fd_540,0.0013992488374277,396
80,295,fd_295,0.0013952479506628,397
468,1612,fa_588,0.0013813662692874,398
215,739,fd_739,0.0013608887348102,399
399,1378,fa_354,0.0013570167063136,400
95,349,fd_349,0.0013420439825952,401
82,299,fd_299,0.0013199672271126,402
223,751,fd_751,0.0012969964696524,403
43,131,fd_131,0.0012804830642351,404
559,1907,fa_883,0.0012572066710653,405
32,115,fd_115,0.00125409801674,406
592,2015,fa_991,0.0012333093828617,407
425,1476,fa_452,0.0012246512762145,408
269,956,fd_956,0.0011807139784005,409
597,2043,fa_1019,0.0011221021931223,410
405,1395,fa_371,0.0011177172222095,411
394,1363,fa_339,0.0010957082503185,412
336,1148,fa_124,0.0010912972049181,413
87,315,fd_315,0.0010787078326882,414
358,1239,fa_215,0.0010725186005364,415
205,721,fd_721,0.0010641971577255,416
193,698,fd_698,0.0010592029813442,417
200,715,fd_715,0.0010360374418498,418
164,593,fd_593,0.001016526195833,419
266,934,fd_934,0.0010107132314139,420
237,809,fd_809,0.0010001004042161,421
17,48,fd_48,0.0009885910065508,422
74,262,fd_262,0.0009674501011097,423
410,1418,fa_394,0.0009506648806201,424
172,630,fd_630,0.0009469810067895,425
254,881,fd_881,0.0009429025740182,426
227,768,fd_768,0.0009427271826728,427
415,1430,fa_406,0.0009398473340301,428
386,1331,fa_307,0.0009368334743164,429
537,1831,fa_807,0.0009367069853077,430
171,629,fd_629,0.0009173430497133,431
557,1903,fa_879,0.0009121827120605,432
155,554,fd_554,0.0009116982998323,433
481,1661,fa_637,0.0009059695525614,434
400,1383,fa_359,0.000899488321496,435
482,1663,fa_639,0.0008950158062531,436
53,167,fd_167,0.0008949706757868,437
588,2002,fa_978,0.0008700421743111,438
65,211,fd_211,0.0008686154954211,439
39,125,fd_125,0.0008683414436492,440
68,223,fd_223,0.0008398246832633,441
93,342,fd_342,0.0008268282302508,442
397,1367,fa_343,0.0008140476691176,443
383,1327,fa_303,0.0008063331787885,444
563,1917,fa_893,0.0007961014900208,445
73,247,fd_247,0.0007892143322821,446
173,634,fd_634,0.0007887517167934,447
514,1770,fa_746,0.0007714306186982,448
369,1278,fa_254,0.0007709618158035,449
322,1114,fa_90,0.00076273533216,450
219,746,fd_746,0.0007553752070336,451
329,1131,fa_107,0.0007440184576542,452
479,1647,fa_623,0.0007360032904488,453
473,1632,fa_608,0.000729269887758,454
204,720,fd_720,0.0007203846119716,455
255,882,fd_882,0.0007175564616746,456
310,1082,fa_58,0.0007113118446745,457
56,187,fd_187,0.0007056247698279,458
153,549,fd_549,0.0006917110186224,459
418,1442,fa_418,0.0006882470213387,460
334,1145,fa_121,0.000679675643206,461
484,1666,fa_642,0.0006778854324171,462
98,369,fd_369,0.0006700888828421,463
13,43,fd_43,0.0006539183018359,464
230,781,fd_781,0.0006488293193348,465
436,1496,fa_472,0.00063876011635,466
343,1179,fa_155,0.0006355692558622,467
487,1679,fa_655,0.0006337749796491,468
312,1084,fa_60,0.0006310901487899,469
103,379,fd_379,0.0006276316419791,470
568,1930,fa_906,0.0006210095193614,471
259,902,fd_902,0.0006113914834747,472
156,560,fd_560,0.0006030857055638,473
596,2042,fa_1018,0.0005956852764314,474
551,1885,fa_861,0.0005943500076004,475
183,654,fd_654,0.0005930798633706,476
190,692,fd_692,0.0005893151779273,477
142,507,fd_507,0.0005679510889934,478
344,1181,fa_157,0.0005590595792965,479
229,773,fd_773,0.0005552159480575,480
370,1286,fa_262,0.0005504507209072,481
324,1118,fa_94,0.0005502155613405,482
52,166,fd_166,0.0005304807941034,483
309,1079,fa_55,0.0005172703248127,484
132,481,fd_481,0.0005130034650207,485
298,1054,fa_30,0.0005123409922388,486
404,1390,fa_366,0.0004990480952105,487
456,1568,fa_544,0.0004915757053603,488
203,719,fd_719,0.0004891452222841,489
284,999,fd_999,0.0004823054536467,490
472,1631,fa_607,0.0004762055753639,491
268,949,fd_949,0.0004707588121223,492
277,974,fd_974,0.000452573917714,493
201,716,fd_716,0.000448506852845,494
234,799,fd_799,0.0004482896858368,495
114,415,fd_415,0.0004447298908828,496
372,1297,fa_273,0.0004131472740447,497
337,1149,fa_125,0.0004131402014475,498
160,573,fd_573,0.0004023120145925,499
389,1340,fa_316,0.0003994255794782,500
163,592,fd_592,0.0003965708620571,501
61,199,fd_199,0.0003915647098465,502
265,929,fd_929,0.0003893078868258,503
354,1228,fa_204,0.0003882454755373,504
423,1468,fa_444,0.0003847228641646,505
431,1485,fa_461,0.0003721730838161,506
92,340,fd_340,0.0003474324119754,507
426,1477,fa_453,0.0003463540949117,508
532,1814,fa_790,0.0003461881631172,509
491,1698,fa_674,0.0003409479784188,510
45,142,fd_142,0.0003385291663904,511
534,1825,fa_801,0.0003383364610198,512
177,641,fd_641,0.0003359432818443,513
561,1910,fa_886,0.0003294302341046,514
161,583,fd_583,0.0003236207705208,515
36,120,fd_120,0.0003219043304521,516
127,465,fd_465,0.0003211890855486,517
287,1009,fd_1009,0.0003191278643026,518
40,127,fd_127,0.0003106571318929,519
538,1839,fa_815,0.000309513373683,520
22,67,fd_67,0.00030064923116,521
476,1639,fa_615,0.0002971528303311,522
226,764,fd_764,0.0002969036440191,523
365,1250,fa_226,0.000289982373891,524
121,447,fd_447,0.0002863440216825,525
587,2000,fa_976,0.0002834563465259,526
489,1688,fa_664,0.0002800553592764,527
126,462,fd_462,0.000274569922777,528
555,1897,fa_873,0.000274384476808,529
492,1701,fa_677,0.0002701504100975,530
186,667,fd_667,0.0002649772241148,531
109,402,fd_402,0.0002647411213418,532
553,1891,fa_867,0.0002590191270759,533
30,104,fd_104,0.0002587569516988,534
536,1827,fa_803,0.0002499534750589,535
493,1703,fa_679,0.000247345062002,536
238,813,fd_813,0.0002450014688595,537
330,1135,fa_111,0.0002411433615008,538
195,701,fd_701,0.0002405536847504,539
67,221,fd_221,0.0002339101292293,540
483,1664,fa_640,0.0002314990801745,541
401,1384,fa_360,0.0002267460161102,542
360,1241,fa_217,0.000220427465187,543
6,22,fd_22,0.0002197502804719,544
187,671,fd_671,0.0002168235593034,545
429,1482,fa_458,0.000212982840042,546
504,1738,fa_714,0.0002120387552375,547
398,1368,fa_344,0.0002061747592997,548
152,546,fd_546,0.0002031322890459,549
517,1780,fa_756,0.0002002732065976,550
