query_source,query_index,nearest_other_source_index,donor_similarity,acceptor_similarity,paired_similarity
in-house,277,93,0.5204081535339355,0.4736842215061188,0.49704617261886597
in-house,278,533,0.3207547068595886,0.6842105388641357,0.5024826526641846
in-house,279,533,0.33636364340782166,0.7662337422370911,0.5512986779212952
in-house,280,533,0.2641509473323822,0.7142857313156128,0.4892183542251587
in-house,281,93,0.4528301954269409,0.5487805008888245,0.5008053779602051
in-house,282,533,0.302752286195755,0.8648648858070374,0.5838086009025574
in-house,283,93,0.39830508828163147,0.3645833432674408,0.38144421577453613
in-house,284,352,0.4356435537338257,0.4112149477005005,0.4234292507171631
in-house,285,418,0.49484536051750183,0.4112149477005005,0.45303016901016235
in-house,286,533,0.27272728085517883,0.835616409778595,0.5541718602180481
in-house,287,93,0.4528301954269409,0.4642857015132904,0.45855796337127686
in-house,288,533,0.190476194024086,0.5,0.3452380895614624
in-house,289,47,0.4285714328289032,0.4112149477005005,0.41989320516586304
in-house,290,47,0.2063492089509964,0.4712643623352051,0.33880677819252014
in-house,291,533,0.3333333432674408,0.835616409778595,0.5844748616218567
in-house,292,93,0.5154638886451721,0.517241358757019,0.516352653503418
in-house,293,483,0.46236559748649597,0.9821428656578064,0.72225421667099
in-house,294,352,0.4736842215061188,0.5844155550003052,0.5290498733520508
in-house,295,483,0.46236559748649597,0.5054945349693298,0.4839300513267517
in-house,296,352,0.29411765933036804,0.75,0.5220588445663452
in-house,297,533,0.380952388048172,0.7058823704719543,0.5434173941612244
in-house,298,352,0.29411765933036804,0.4938271641731262,0.39397239685058594
in-house,299,483,0.46236559748649597,0.5058823823928833,0.48412400484085083
in-house,300,60,0.5495495200157166,0.3645833432674408,0.4570664167404175
in-house,301,352,0.29411765933036804,0.4356435537338257,0.36488062143325806
in-house,302,533,0.33636364340782166,0.625,0.480681836605072
in-house,303,533,0.33636364340782166,0.6000000238418579,0.468181848526001
in-house,304,533,0.33636364340782166,0.759036123752594,0.5476998686790466
in-house,305,483,0.46236559748649597,0.5053763389587402,0.4838709831237793
in-house,306,533,0.13114753365516663,0.5247524976730347,0.32795000076293945
in-house,307,47,0.3451327383518219,0.7903226017951965,0.5677276849746704
in-house,308,483,0.5,0.5844155550003052,0.5422077775001526
in-house,309,483,0.46236559748649597,0.7903226017951965,0.6263440847396851
in-house,310,418,0.5604395866394043,0.4112149477005005,0.4858272671699524
in-house,311,533,0.3207547068595886,0.6547619104385376,0.4877583086490631
in-house,312,533,0.380952388048172,0.31617647409439087,0.3485644459724426
in-house,313,533,0.380952388048172,0.8205128312110901,0.6007326245307922
in-house,314,533,0.380952388048172,0.5955055952072144,0.488228976726532
in-house,315,533,0.33636364340782166,0.5617977380752563,0.4490807056427002
in-house,316,483,0.46236559748649597,0.8095238208770752,0.6359447240829468
in-house,317,533,0.33636364340782166,0.931506872177124,0.633935272693634
in-house,318,47,0.4285714328289032,0.20512820780277252,0.31684982776641846
in-house,319,533,0.35849055647850037,0.835616409778595,0.5970534682273865
in-house,320,533,0.33636364340782166,0.759036123752594,0.5476998686790466
in-house,321,533,0.380952388048172,0.6236559152603149,0.5023041367530823
in-house,322,93,0.4528301954269409,0.41489362716674805,0.4338619112968445
in-house,323,533,0.20792078971862793,1.0,0.603960394859314
in-house,324,533,0.15094339847564697,1.0,0.5754716992378235
in-house,325,483,0.46236559748649597,0.4712643623352051,0.4668149948120117
in-house,326,483,0.4886363744735718,0.5357142686843872,0.5121753215789795
in-house,327,533,0.3925233781337738,0.835616409778595,0.6140698790550232
in-house,328,533,0.35922330617904663,0.835616409778595,0.5974198579788208
in-house,329,533,0.302752286195755,0.8125,0.5576261281967163
in-house,330,93,0.4528301954269409,0.33695653080940247,0.3948933482170105
in-house,331,93,0.5204081535339355,0.42574256658554077,0.47307536005973816
in-house,332,483,0.46236559748649597,0.5921052694320679,0.5272354483604431
in-house,333,533,0.1946902722120285,0.835616409778595,0.5151533484458923
in-house,334,483,0.46236559748649597,0.7246376872062683,0.593501627445221
in-house,335,533,0.27927929162979126,0.835616409778595,0.5574478507041931
in-house,336,47,0.3451327383518219,0.478723406791687,0.41192805767059326
in-house,337,533,0.2818181812763214,1.0,0.6409090757369995
in-house,338,533,0.380952388048172,0.420560747385025,0.4007565677165985
in-house,339,483,0.46236559748649597,0.9821428656578064,0.72225421667099
in-house,340,483,0.46236559748649597,0.9821428656578064,0.72225421667099
in-house,341,483,0.46236559748649597,0.5465116500854492,0.5044386386871338
in-house,342,533,0.2110091745853424,1.0,0.60550457239151
in-house,343,533,0.33636364340782166,0.6629213690757751,0.4996424913406372
in-house,344,483,0.5,0.3928571343421936,0.4464285671710968
in-house,345,533,0.33636364340782166,0.6236559152603149,0.4800097942352295
in-house,346,532,0.378947377204895,0.47191011905670166,0.42542874813079834
in-house,347,533,0.315315306186676,0.5,0.407657653093338
in-house,348,483,0.46236559748649597,0.4591836631298065,0.46077463030815125
in-house,349,483,0.46236559748649597,0.37634408473968506,0.4193548560142517
in-house,350,483,0.46236559748649597,0.3684210479259491,0.41539332270622253
in-house,351,483,0.5,0.488095223903656,0.494047611951828
in-house,352,533,0.380952388048172,0.529411792755127,0.4551820755004883
in-house,353,533,0.33636364340782166,0.5504587292671204,0.4434111714363098
in-house,354,483,0.5,0.42352941632270813,0.46176469326019287
in-house,355,93,0.4528301954269409,0.35537189245224,0.40410104393959045
