Acceptor,SMILES
A_38,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC(C4=CC5=C(C6=C(C5(C7=CC=C(C=C7)CCCCCC)C8=CC=C(C=C8)CCCCCC)C9=C(C=C([Se]9)/C=C%10C(C%11=CSC=C%11C\%10=C(C#N)\C#N)=O)S6)C=C4%12)=C%13C%12(C%14=CC=C(C=C%14)CCCCCC)C(C=C%15)=CC=C%15CCCCCC)=C%13[Se]3
A_39,O=C1C(/C(C2=CC(F)=C(C=C21)F)=C(C#N)\C#N)=C\C3=CC4=C(S3)C5=C(C6=C(C7=C(C8=C(C=C9C%10=C(C(C%11=CC=C(C=C%11)CCCCCC)(C9=C8)C%12=CC=C(C=C%12)CCCCCC)C=C(/C=C%13/C(C%14=CC(F)=C(F)C=C%14C%13=O)=C(C#N)/C#N)S%10)C7(C%15=CC=C(C=C%15)CCCCCC)C%16=CC=C(C=C%16)CCCCCC)S6)C5(C%17=CC=C(C=C%17)CCCCCC)C%18=CC=C(C=C%18)CCCCCC)S4
A_40,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(C=C3)CCCCCC)C4=C([Se]C5=CC6=C(C=C54)[Se]C7=C6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C%10=C7SC(/C=C%11\C(C%12=C(C=C(Cl)C=C%12)C%11=O)=C(C#N)\C#N)=C%10)C%13=C2C=C(/C=C%14C(C(C=C(Cl)C=C%15)=C%15C/%14=C(C#N)/C#N)=O)S%13
A_41,O=C1C(/C(C2=C1C=C(F)C=C2)=C(C#N)/C#N)=C\C3=CC4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C(C=C6C7=C8C9=C(C=C(S9)/C=C%10C(C(C(F)=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)S7)=C%12C=C6C8(C%13=CC=C(C=C%13)CCCCCC)C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(CCCCCC)C=C%15)=C%12S4
A_42,O=C1C2=C(C)SC=C2C(/C1=C/C3=CC4=C(S3)C(SC5=C6C(C7=CC=C(CCCCCCCC)S7)=C8SC9=C(C8=C5C%10=CC=C(CCCCCCCC)S%10)C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC%14=C%13SC(/C=C%15/C(C%16=CSC(C)=C%16C%15=O)=C(C#N)\C#N)=C%14)=C6C4(C%17=CC=C(CCCCCC)C=C%17)C%18=CC=C(CCCCCC)C=C%18)=C(C#N)/C#N
A_43,O=C(C1=C(C=C(Cl)C(Cl)=C1)C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(S5)C(CCCCCCCC)=C9C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=C%12SC(/C=C%13C(C%14=C(C=C(Cl)C(Cl)=C%14)C\%13=C(C#N)\C#N)=O)=C%11)C%15=CC=C(CCCCCC)C=C%15)=C%12SC9=C8[O]CCCCCCCC)S3
A_44,O=C1C(/C(C2=C1C=CC(F)=C2)=C(C#N)\C#N)=C\C3=CC(C(CCCCCC)(CCCCCC)C4=C5C(OC)=C(C6(CCCCCC)CCCCCC)C(C(S7)=C6C=C7/C=C(/C(C8=C9C=CC(F)=C8)=C(C#N)\C#N)C9=O)=C4OC)=C5S3
A_45,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C(N(CCC(CC)CCCC)C6=C7CC8=C6SC(/C=C9C(C%10=CSC=C%10C\9=C(C#N)\C#N)=O)=C8CCCCCCCCCCC)=C7C%11=NSN=C4%11)=C%12N5CCC(CC)CCCC)=C%12S3
A_46,O=C(C1=CC(Cl)=C(C=C1C/2=C(C#N)\C#N)Cl)C2=C/C3=CC4=C(C(C5(C6=CC=C(C=C6)CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=CC9=C(C%10=C(C9(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C%13=C(C=C(S%13)/C=C%14C(C%15=CC(Cl)=C(C=C%15C\%14=C(C#N)\C#N)Cl)=O)S%10)C=C85)S4)S3
A_47,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC(C4=C5C6=C(C7=C(N6CC(CCCC)CC)C8=C(C=C(S8)/C=C9C(C%10=C(C=CC=C%10)C\9=C(C#N)\C#N)=O)S7)C%11=NN(N=C4%11)CC(CC)CCCC)=C%12N5CC(CC)CCCC)=C%12S3
A_48,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=C(N4CC(CCCCCC)CCCC)C6=C(S5)C(C(C(C7=CC=C(C=C7)CCCCCC)6C8=CC=C(C=C8)CCCCCC)=C9)=CC%10=C9C%11=C(C(C%12=CC=C(CCCCCC)C=C%12)%10C%13=CC=C(CCCCCC)C=C%13)C(N%14CC(CCCCCC)CCCC)=C(S%11)C(S%15)=C%14C=C%15/C=C(C(C%16=C%17C=C(Cl)C(Cl)=C%16)=O)/C%17=C(C#N)/C#N
A_49,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C=C(S8)/C=C9C(C%10=CSC=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NN(N=C4%11)CC(CC)CCCC)=C%12N5CC(CCCC)CC)=C%12S3
A_50,O=C(C(C=C(C(F)=C1)F)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(CC6=CC=C(C=C6)CCCCCC)(C7=CC8=C(C(CC9=CC=C(C=C9)CCCCCC)(C%10=C8SC%11=C%10CC(/C=C%12C(C(C=C(C(F)=C%13)F)=C%13C\%12=C(C#N)/C#N)=O)=C%11)CC%14=CC=C(C=C%14)CCCCCC)C=C74)CC(C=C%15)=CC=C%15CCCCCC)=C5S3
A_51,c1c(c(cc2c1C(=C(C#N)C#N)/C(=C/c1cc3c(s1)c1c([se]3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1[se]c1c3sc(c1)/C=C\1/C(=C(C#N)C#N)c3c(C1=O)cc(c(c3)Cl)Cl)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=O)Cl)Cl
A_52,O=C(C1=C(C=C(C(F)(F)F)C=C1)C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(C(C=C8C9(C%10=CC=C(C=C%10)CCCCCC)C%11=CC=C(CCCCCC)C=C%11)=C5C=C8C%12=C9C%13=C(C=C(S%13)/C=C%14C(C%15=C(C=C(C(F)(F)F)C=C%15)C\%14=C(C#N)\C#N)=O)S%12)S4)S3
